zdaid;zdaversion;zdacreated;zdachanged;zdaname;zdaxepsg2154;zdayepsg2154;zdcid;zdapostalregion;zdatown;zdatype
47199;1119608-1119609;2014-12-29T00:00:00+00:00;2021-10-22T10:40:31+00:00;Faremoutiers - Pommeuse;699506;6856495;67917;77371;Pommeuse;railStation
43081;1119597-1119598;2014-12-29T00:00:00+00:00;2021-10-22T10:40:01+00:00;Étréchy;640507;6821817;59678;91226;Étréchy;railStation
47920;47920-65910;2014-12-29T15:31:51+00:00;2021-10-22T10:39:51+00:00;Ermont Halte;646078;6876985;65910;95219;Ermont;railStation
47898;1119572-1119573;2014-12-29T00:00:00+00:00;2021-10-22T10:39:49+00:00;Ermont - Eaubonne;646620;6875864;65669;95219;Ermont;railStation
43074;1119576-1119577;2014-12-29T00:00:00+00:00;2021-10-22T10:39:37+00:00;Émerainville - Pontault-Combault;671980;6856268;67897;77169;Émerainville;railStation
43120;1088321-1088320;2014-12-29T00:00:00+00:00;2021-10-22T10:39:29+00:00;Domont;651527;6881642;66654;95199;Domont;railStation
58879;1119560-1119561;2014-12-29T00:00:00+00:00;2021-10-22T10:38:59+00:00;Chelles - Gournay;669441;6863869;68407;77108;Chelles;railStation
47929;1088952-1088953;2014-12-29T00:00:00+00:00;2021-10-22T10:38:53+00:00;Chanteloup-les-Vignes;628810;6874928;65443;78138;Chanteloup-les-Vignes;railStation
42516;1085348-1085349;2014-12-29T00:00:00+00:00;2021-10-22T10:38:44+00:00;Cesson;670089;6829481;62176;77067;Cesson;railStation
44559;44559-660485;2014-12-29T15:31:51+00:00;2021-10-22T10:38:39+00:00;Cergy Préfecture;632714;6882216;66696;95127;Cergy;railStation
43102;1119546-1119547;2014-12-29T00:00:00+00:00;2021-10-22T10:38:37+00:00;Buno - Gironville;654622;6808086;59447;91121;Buno-Bonnevaux;railStation
411362;1086039-1086040;2015-01-26T00:00:00+00:00;2021-10-22T10:38:37+00:00;Bueil;585951;6870600;411363;27119;Bueil;railStation
43099;43099-59940;2014-12-29T15:31:51+00:00;2021-10-22T10:38:32+00:00;Breuillet Village;638785;6829667;59940;91105;Breuillet;railStation
43098;1085748-1085749;2014-12-29T00:00:00+00:00;2021-10-22T10:38:28+00:00;Brétigny;648537;6834277;60247;91103;Brétigny-sur-Orge;railStation
46801;1087788-1087802;2014-12-29T00:00:00+00:00;2021-10-22T10:38:10+00:00;Boissy-l'Aillerie;628791;6886647;67056;95078;Boissy-l'Aillerie;railStation
47654;1087754-1087693;2014-12-29T00:00:00+00:00;2021-10-22T10:38:09+00:00;Bois-le-Roi;677202;6819548;61727;77037;Bois-le-Roi;railStation
46857;1087251-1087252;2014-12-29T00:00:00+00:00;2021-10-22T10:38:04+00:00;Beynes;617506;6862812;64338;78062;Beynes;railStation
45419;1119612-634539;2014-12-29T00:00:00+00:00;2021-10-22T10:37:42+00:00;Avenue du Président Kennedy Maison de Radio France;647145;6861739;71212;75116;Paris 16e;railStation
43071;1086784-1086785;2014-12-29T00:00:00+00:00;2021-10-22T10:37:40+00:00;Aulnay-sous-Bois;663044;6870359;72646;93005;Aulnay-sous-Bois;railStation
47956;1106593-1106594;2014-12-29T00:00:00+00:00;2021-08-27T14:51:15+00:00;Saint-Rémy-la-Vanne;718088;6855592;73784;77432;Saint-Rémy-la-Vanne;railStation
411455;1119599-1119601;2015-01-26T00:00:00+00:00;2019-05-21T10:54:54+00:00;Étigny - Véron;721578;6781960;411456;89160;Étigny;railStation
411511;413136-413138;2015-01-26T15:12:19+00:00;2019-04-24T10:43:09+00:00;Épernon;602807;6834687;411512;28140;Épernon;railStation
411473;1085941-1085942;2015-01-26T00:00:00+00:00;2019-04-24T10:43:00+00:00;Saint-Julien du Sault;722568;6769625;411474;89348;Saint-Julien-du-Sault;railStation
411443;1085425-1085426;2015-01-26T00:00:00+00:00;2019-04-24T10:42:33+00:00;Châteaudun;576262;6776092;411444;28088;Châteaudun;railStation
43169;1822260-1822261;2014-12-29T00:00:00+00:00;2026-07-15T14:15:40+00:00;Nanterre - Préfecture;643031;6866489;70945;92050;Nanterre;railStation
47879;1822229-1822230;2014-12-29T15:31:51+00:00;2026-07-15T13:25:50+00:00;Neuville - Université;632580;6879708;66436;95450;Neuville-sur-Oise;railStation
43086;1822214-1822215;2014-12-29T15:31:51+00:00;2026-07-15T13:10:52+00:00;Orsay - Ville;639710;6844464;62892;91471;Orsay;railStation
58759;1780866-1782109;2014-12-29T00:00:00+00:00;2026-04-01T09:43:01+00:00;Charles de Gaulle - Étoile;648306;6864025;71347;75117;Paris 17e;railStation
415093;1777827-1777839;2015-03-26T17:45:30+00:00;2026-03-30T15:44:26+00:00;Neuilly - Porte Maillot;647503;6864496;71379;75117;Paris 17e;railStation
58581;1119881-1119882;2014-12-29T00:00:00+00:00;2026-02-09T14:58:48+00:00;Villiers Montbarbin;691385;6862619;68311;77142;Crécy-la-Chapelle;railStation
46990;1097602-1097638;2014-12-29T00:00:00+00:00;2025-11-17T16:26:38+00:00;Saint-Cyr;631887;6855810;73731;78545;Saint-Cyr-l'École;railStation
45346;45346-71150;2014-12-29T15:31:51+00:00;2025-09-30T14:04:23+00:00;Javel;647018;6861033;71150;75115;Paris 15e;railStation
411485;1835297-1106601;2015-01-26T00:00:00+00:00;2026-08-25T13:17:48+00:00;Malesherbes;655577;6799424;411486;45191;Le Malesherbois;railStation
411482;1835246-1098523;2015-01-26T00:00:00+00:00;2026-08-25T09:37:57+00:00;Montargis;680850;6767399;411483;45208;Montargis;railStation
411345;1835242-1089009;2015-01-26T00:00:00+00:00;2026-08-25T09:35:10+00:00;Chaumont-en-Vexin;617970;6907422;411346;60143;Chaumont-en-Vexin;railStation
411405;1835231-1097640;2015-01-26T00:00:00+00:00;2026-08-25T09:09:40+00:00;Le Plessis-Belleville;681378;6888529;411406;60500;Le Plessis-Belleville;railStation
411381;1835229-1090890;2015-01-26T00:00:00+00:00;2026-08-25T09:08:06+00:00;Chézy-sur-Marne;726669;6876945;411382;02186;Chézy-sur-Marne;railStation
43205;1801068-70829;2014-12-29T00:00:00+00:00;2026-05-20T09:26:19+00:00;Suresnes Mont Valérien;642863;6863800;70829;92073;Suresnes;railStation
43184;1801064-1097268;2014-12-29T00:00:00+00:00;2026-05-20T09:25:04+00:00;Puteaux;643797;6865090;71422;92062;Puteaux;railStation
43248;1801060-1106570;2014-12-29T00:00:00+00:00;2026-05-20T09:22:56+00:00;Marly-le-Roi;633730;6863879;64405;78372;Marly-le-Roi;railStation
473506;1801059-1098279;2019-03-15T00:00:00+00:00;2026-05-20T09:22:39+00:00;Louveciennes;635642;6862715;64341;78350;Louveciennes;railStation
47412;1801048-1119617;2014-12-29T00:00:00+00:00;2026-05-20T09:18:45+00:00;La Garenne-Colombes;644278;6867999;72148;92025;Colombes;railStation
47790;1801030-1088031;2014-12-29T15:31:51+00:00;2026-05-20T09:14:54+00:00;Bougival;636311;6861878;64301;78126;La Celle-Saint-Cloud;railStation
47923;1801028-72124;2014-12-29T15:31:51+00:00;2026-05-20T09:14:31+00:00;Bécon les Bruyères;646399;6867525;72124;92026;Courbevoie;railStation
46366;1095249-1095250;2014-12-29T00:00:00+00:00;2026-04-22T15:07:30+00:00;Ivry-sur-Seine;655329;6857271;424396;94041;Ivry-sur-Seine;railStation
58566;1347556-1244767;2014-12-29T00:00:00+00:00;2026-04-16T09:54:12+00:00;Gare Saint-Lazare;650452;6864373;71370;75108;Paris 8e;railStation
47325;1119758-1119759;2014-12-29T00:00:00+00:00;2026-02-09T14:58:48+00:00;Montry - Condé;687216;6865687;68582;77315;Montry;railStation
58774;1119730-1119731;2014-12-29T00:00:00+00:00;2026-02-09T14:58:48+00:00;Massy - Palaiseau;645477;6847521;63244;91377;Massy;railStation
43088;1615080-1615081;2014-12-29T15:31:51+00:00;2024-11-04T17:06:16+00:00;Gare de Bellevue;643459;6857921;69528;92048;Meudon;railStation
47599;1119835-1119836;2014-12-29T00:00:00+00:00;2024-09-05T05:14:51+00:00;Saint-Ouen-l'Aumône;634586;6883196;66803;95572;Saint-Ouen-l'Aumône;railStation
44411;1096826-1096827;2014-12-29T00:00:00+00:00;2024-09-05T05:09:40+00:00;Pontoise;633898;6883362;66816;95500;Pontoise;railStation
479035;1590771-1274414;2020-02-29T08:03:08+00:00;2024-07-05T12:58:53+00:00;Paris-Bercy Bourgogne - Pays d'Auvergne;654802;6860013;71607;75112;Paris 12e;railStation
46965;1570781-1119727;2014-12-29T00:00:00+00:00;2024-05-14T06:44:24+00:00;Mantes Station;605958;6876729;65770;78361;Mantes-la-Jolie;railStation
43080;1570769-1244780;2014-12-29T00:00:00+00:00;2024-05-14T06:36:43+00:00;Étampes;637857;6815528;478855;91223;Étampes;railStation
43194;1570768-1274421;2014-12-29T00:00:00+00:00;2024-05-14T06:36:12+00:00;Sevran - Livry;665954;6870814;73439;93071;Sevran;railStation
43145;1570764-1230054;2014-12-29T00:00:00+00:00;2024-05-14T06:33:32+00:00;La Plaine Stade de France;653277;6868865;72211;93066;Saint-Denis;railStation
59206;1106066-1106067;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Sceaux;648412;6853697;74265;92071;Sceaux;railStation
58875;1105646-1105645;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Rueil-Malmaison;639310;6865613;70902;92063;Rueil-Malmaison;railStation
43172;1105608-1105629;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Neuilly-Plaisance;664381;6861496;73190;93049;Neuilly-Plaisance;railStation
44493;999521-999403;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Bagneux;650193;6855019;70210;94016;Cachan;railStation
43094;1103124-1103123;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Boissy-Saint-Léger;663570;6850353;72881;94004;Boissy-Saint-Léger;railStation
43607;43607-70427;2014-12-29T15:31:51+00:00;2024-04-11T08:09:37+00:00;Laplace;651113;6856682;70427;94003;Arcueil;railStation
53784;1368248-1368249;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Le Vésinet - Centre;636525;6865917;64514;78650;Le Vésinet;railStation
43076;1106573-1106574;2014-12-29T00:00:00+00:00;2023-11-28T16:34:22+00:00;Épinay-sur-Orge;650814;6841228;60915;91216;Épinay-sur-Orge;railStation
45447;45447-71286;2014-12-29T15:31:51+00:00;2023-09-05T08:55:12+00:00;Avenue Henri Martin;646611;6863071;71286;75116;Paris 16e;railStation
46286;46286-69950;2014-12-29T15:31:51+00:00;2023-07-06T10:05:47+00:00;Créteil Pompadour;658499;6852499;69950;94028;Créteil;railStation
47958;1347561-1119859;2014-12-29T00:00:00+00:00;2022-01-19T15:38:57+00:00;Survilliers - Fosses;665348;6888958;69450;95250;Fosses;railStation
47968;47968-66650;2014-12-29T15:31:51+00:00;2022-01-19T15:38:47+00:00;Les Noues;661808;6881591;66650;95280;Goussainville;railStation
464040;1118687-1549510;2019-02-27T00:00:00+00:00;2022-01-19T15:38:41+00:00;Le Vert de Maisons;658279;6854455;73624;94046;Maisons-Alfort;railStation
58757;58757-1105495;2014-12-29T15:31:51+00:00;2022-01-19T15:38:23+00:00;Champ de Mars Tour Eiffel;647880;6862061;73844;75115;Paris 15e;railStation
47875;1085307-1106544;2014-12-29T00:00:00+00:00;2022-01-14T11:53:43+00:00;Argenteuil;645645;6872136;65063;95018;Argenteuil;railStation
43192;1347559-1099262;2014-12-29T00:00:00+00:00;2021-10-25T17:02:07+00:00;Savigny-sur-Orge;652316;6841999;60987;91589;Savigny-sur-Orge;railStation
43096;1347553-1087932;2014-12-29T00:00:00+00:00;2021-10-25T16:58:01+00:00;Bondy;661842;6866121;72037;93010;Bondy;railStation
58793;1100421-1100423;2014-12-29T00:00:00+00:00;2021-10-22T10:59:40+00:00;Villepinte;664324;6873733;73547;93078;Villepinte;railStation
47966;1109975-1106576;2014-12-29T00:00:00+00:00;2021-10-22T10:59:38+00:00;Villennes-sur-Seine;626713;6871559;64949;78672;Villennes-sur-Seine;railStation
45735;1109904-1100279;2014-12-29T00:00:00+00:00;2021-10-22T10:59:32+00:00;Vigneux-sur-Seine;656844;6845488;63071;91657;Vigneux-sur-Seine;railStation
43219;43219-63880;2014-12-29T15:31:51+00:00;2021-10-22T10:59:26+00:00;Versailles Chantiers;636451;6855367;63880;78646;Versailles;railStation
47963;47963-66520;2014-12-29T15:31:51+00:00;2021-10-22T10:59:22+00:00;Vaucelles;643642;6880477;66520;95607;Taverny;railStation
47588;47588-1099896;2014-12-29T15:31:51+00:00;2021-10-22T10:59:19+00:00;Valmondois;641705;6888194;67107;95120;Butry-sur-Oise;railStation
43195;1119860-1119861;2014-12-29T00:00:00+00:00;2021-10-22T10:59:03+00:00;Sèvres Rive Gauche;642369;6858192;463754;92072;Sèvres;railStation
47950;1085620-1085621;2014-12-29T00:00:00+00:00;2021-10-22T10:58:58+00:00;Sermaise;631276;6826566;59842;91593;Sermaise;railStation
43191;1099147-1099148;2014-12-29T00:00:00+00:00;2021-10-22T10:58:55+00:00;Sartrouville;638259;6871187;64918;78586;Sartrouville;railStation
47949;1119845-1119846;2014-12-29T00:00:00+00:00;2021-10-22T10:58:52+00:00;Santeuil - Le Perchay;623311;6892014;67196;95584;Santeuil;railStation
47955;1119839-1119840;2014-12-29T00:00:00+00:00;2021-10-22T10:58:47+00:00;Saint-Ouen-l'Aumône Quartier de l'Église;634450;6882506;66731;95572;Saint-Ouen-l'Aumône;railStation
43202;1085830-1085831;2014-12-29T00:00:00+00:00;2021-10-22T10:58:44+00:00;Saint-Michel-sur-Orge;648922;6837494;60536;91570;Saint-Michel-sur-Orge;railStation
47946;1119825-1119826;2014-12-29T00:00:00+00:00;2021-10-22T10:53:26+00:00;Presles - Courcelles;648005;6890663;67169;95504;Presles;railStation
44514;44514-71545;2014-12-29T15:31:51+00:00;2021-10-22T10:53:24+00:00;Porte de Clichy;649844;6866245;71545;75117;Paris 17e;railStation
58798;1119896-1253146;2014-12-29T00:00:00+00:00;2021-10-22T10:53:21+00:00;Pont du Garigliano - Hôpital Européen G. Pompidou;646454;6860117;74002;75115;Paris 15e;railStation
